word,count,score
about,1226734006,686435
other,978481319,832611
which,810514085,401325
their,782849411,855874
there,701170205,662861
first,578161543,733805
would,572644147,501335
these,541003982,657119
click,536746424,473186
price,501651226,805911
state,453104133,816425
email,443949646,899383
world,431934249,600353
music,414028837,630186
after,372948094,858934
video,365410017,738714
where,360468339,541943
books,347710184,436921
links,339926541,707010
years,337841309,878417
order,336631187,693098
items,330505325,863870
group,321842984,558788
under,313296421,769103
games,305930896,808221
could,302311431,572059
great,301487430,887004
hotel,297974790,789855
store,291308910,935430
terms,277705910,848040
right,273620358,659056
local,270742935,637312
those,270014141,826869
using,269448880,675046
phone,256643812,736470
forum,254478181,544225
based,252405204,800725
black,244690155,563292
check,244491090,476023
index,242826246,719071
being,242783091,742286
women,242520455,715838
today,239271204,677799
south,238581133,643379
pages,234001114,794714
found,232005894,536782
house,231310420,749633
photo,227125249,462626
power,226596368,711924
while,226194991,692200
three,223417394,662861
total,222649459,687506
place,220970235,798070
think,217856550,625165
north,217809513,738546
posts,216822128,565445
media,216432510,849466
water,215178488,856650
since,214302926,898906
guide,213378807,682180
board,212361059,714562
white,209863729,713174
small,208371878,616156
times,202950880,863870
sites,202755734,781510
level,202563642,425868
hours,198242904,665161
image,197874283,829793
title,196676017,744496
shall,191963867,602418
class,191087771,639003
still,190433487,654282
money,190205072,721565
every,189325890,508834
visit,187062316,549641
tools,185555874,631019
reply,184777992,682328
value,182061247,731961
press,179652730,679132
learn,179428286,968783
print,178250872,762040
stock,176295589,642338
point,175527859,754607
sales,173244220,795451
large,165863763,866030
table,165341452,834602
start,161913408,731953
model,161205740,732702
human,160573748,624665
movie,158421100,736564
march,158281269,661300
yahoo,155733641,506510
going,155284081,595190
study,152978354,529727
staff,151553180,591537
again,150781416,653368
april,149976767,801404
never,149556758,636214
users,149320234,688444
topic,149001702,692224
below,145701629,655506
party,144707500,669575
login,144200144,729617
legal,142048771,688847
above,141894620,744310
quote,139242226,670665
story,138433809,713985
rates,137089538,993608
young,136341684,520552
field,135289140,710372
paper,134939426,735619
girls,132325396,740901
night,130531484,649463
texas,129399241,828728
poker,129054826,717980
issue,128427156,704274
range,128314924,899193
court,127719981,685706
audio,127014703,753366
light,126699632,616300
write,126645151,821735
offer,126228968,645355
given,125542966,716881
files,125524478,797303
event,125515260,614432
china,124472054,762360
needs,123595776,685196
might,123196001,564233
month,123027963,643723
major,122592252,667272
areas,121986327,838207
space,121505269,835084
cards,121094522,766269
child,119747393,585779
enter,119394206,761829
share,119294241,906829
added,118410414,574093
radio,113285624,852384
until,113090086,728596
color,112965658,586567
track,112385243,706258
least,111229798,950852
trade,110086585,906677
david,109067044,535237
green,108287905,671265
close,107853068,842480
drive,107799371,746147
short,106755242,742397
means,105946662,910974
daily,105837757,680088
beach,105642682,718603
costs,101090970,601799
style,101024266,763134
front,100886343,706691
parts,100637505,800806
early,100013194,841403
miles,100012522,842896
sound,100010833,671456
works,98581698,593396
rules,97658641,822871
final,97649084,759725
adult,97583096,680431
thing,97451660,649463
cheap,97049762,732265
third,95489240,678729
gifts,95412416,621459
cover,94501729,743581
often,92551460,791163
watch,92006970,591641
deals,91189968,879961
words,90910143,637367
linux,90854231,585498
james,90535679,753435
heart,90249265,890789
error,89396475,608588
clear,88447610,906400
makes,87829598,783923
india,87391857,673041
taken,87019836,853113
known,86395556,412362
cases,86255673,766231
quick,85584600,422618
whole,85202530,668937
later,84857974,956594
basic,84840226,752780
shows,84804638,444296
along,83444756,764532
among,83431590,712465
death,83216831,798116
speed,83135749,586459
brand,82807581,712402
stuff,81444510,441774
japan,81110725,474422
doing,80821946,679700
loans,80821333,871136
shoes,80755612,671468
entry,80717798,802039
notes,79958318,925837
force,79199815,750562
river,78843808,661637
album,77914316,578071
views,77333335,690378
plans,77295630,770239
build,77203075,545306
types,77070740,697560
lines,76806341,928126
apply,76341478,471418
asked,75532722,786073
cross,74230978,623581
weeks,73571749,508118
lower,72606927,777498
union,72603888,608518
names,71918906,910974
leave,70957750,653796
teens,70859771,756087
woman,70613606,682111
cable,70082598,784408
score,69315004,885236
shown,68755779,611886
flash,68391647,639185
ideas,67309657,938547
allow,67052567,566588
homes,66753480,753828
super,66703287,757297
asian,66078353,759972
cause,65904680,844396
focus,65626732,561330
rooms,65453403,600734
voice,64600528,759411
comes,64256803,790413
brown,64112042,604197
forms,63561604,637501
glass,63559754,598633
happy,63471922,405613
smith,63357901,670837
thank,63234550,660080
prior,62949059,608799
sport,62683851,742628
ready,62667516,791486
round,61836702,677198
built,61502894,616197
blood,61348302,443878
earth,61059905,890789
nokia,61035236,798820
italy,60280461,750979
basis,59901425,647573
award,59652161,524104
peter,59541743,663092
extra,59377307,834470
pussy,59206591,358669
rated,59102029,906677
quite,58777731,693928
horse,58453720,848651
stars,58352743,731953
lists,58249254,654282
owner,58189056,810661
takes,57784233,856964
bring,57608074,657814
input,57191675,663022
agent,57103658,877411
valid,57094711,669664
grand,56599468,722048
trial,56547673,887952
units,56512308,765610
wrote,56421594,798472
ships,56365355,501929
metal,56181783,861771
funds,55721876,538473
guest,55293215,731499
seems,55276661,515456
trust,55157142,582190
multi,55131463,643366
grade,54275130,816113
panel,53784382,860453
floor,53759851,518127
match,53532481,639518
plant,53247607,754199
sense,52629633,600686
stage,52518330,881262
goods,52507183,490538
maybe,51895609,667344
spain,51553238,828825
youth,51426255,512148
break,51242970,762496
dance,51147967,846890
apple,50551171,692863
enjoy,50141455,649256
block,49694725,505114
civil,49495349,462433
steel,49452604,722924
songs,49272598,573618
fixed,49215402,588248
wrong,49156828,613843
hands,49087727,720091
paris,48831449,838418
fully,48616832,289569
worth,48075237,605439
peace,47856201,663643
coast,47716394,829727
grant,47609624,792939
agree,47500911,731603
blogs,46978262,595646
scale,46307526,900658
stand,46292709,806870
frame,46079991,785893
chief,45699591,665264
gives,45649146,720732
heard,45436523,819898
begin,45434902,742286
royal,45407189,749498
clean,45381752,896807
bible,45080741,644286
suite,44829675,859675
vegas,44810653,755647
chris,44754518,715466
piece,44298807,628728
sheet,44295187,657119
seven,44224906,630472
older,44222089,827525
cells,44128080,672730
looks,43897035,516157
calls,43661633,639003
whose,43634263,705951
naked,43110969,782222
lives,42750046,790322
stone,42494931,925837
tests,42336117,588497
buyer,42024703,612404
steve,41997245,618283
label,41359857,679201
scott,41326573,601799
canon,41144763,670475
waste,41089558,850908
chair,40764005,771953
phase,40722940,798499
motor,40615655,584694
shirt,40501964,765660
crime,40361756,819418
count,40345803,676113
claim,40085342,742935
patch,39999745,626011
santa,39664896,722360
alone,39326417,961350
jones,39297134,780487
saint,38929141,915373
drugs,38827156,576136
joint,38827057,695805
fresh,38781893,715668
dates,38442243,900935
upper,38341510,585856
prime,38308402,783064
limit,38290292,565201
began,38269468,777201
louis,38259201,746796
steps,38254292,657350
shops,38241315,478666
creek,38159464,584584
urban,38087999,706057
tours,37957036,751940
labor,37866418,764479
admin,37835381,755401
heavy,37668153,628201
solid,37426444,753141
theme,37219937,568038
porno,36925475,583376
touch,36831035,577145
goals,36766773,768383
serve,36697856,640065
magic,36676771,673345
mount,36648260,653266
smart,36636558,814313
latin,36548259,878359
avoid,36508203,704987
birth,36286070,649410
virus,36286003,649588
abuse,36269685,794380
facts,36041603,696744
faith,35936559,681731
chain,35928367,762360
moved,35713495,628061
reach,35687918,840595
sorry,35595812,558584
gamma,35426622,375125
truth,35345925,479371
films,35200065,618008
owned,35050234,717988
draft,35033621,681789
chart,35027490,734341
jesus,34929061,521312
clubs,34881779,544431
equal,34832354,707869
codes,34503537,792563
kinds,34482138,657093
teams,34383288,898785
funny,34281806,322732
tried,34201786,871762
named,34099544,824043
laser,34080740,972634
harry,33867934,513943
taxes,33674672,828728
mouse,33667003,763371
brain,33612784,820905
dream,33518573,833636
false,33476460,832218
falls,33213513,570563
stats,33096627,554770
carry,33056477,550528
hello,32960381,634454
clips,32846497,672941
brief,32599674,723809
ended,32588866,513755
eight,32567724,743528
wants,32538214,756843
alert,32472727,956594
queen,32366847,513104
sweet,32311923,622980
diego,32238555,773765
truck,32136249,556495
votes,32059663,788033
ocean,31928741,932130
signs,31899467,596881
depth,31879926,639041
train,31816971,921115
feeds,31593736,554373
route,31439231,842154
frank,31392284,650007
anime,31334688,932546
speak,31324712,770416
query,31284313,562907
rural,30998929,617703
judge,30905832,499218
bytes,30848384,683898
fight,30784313,518640
filed,30718907,710372
korea,30582894,877055
banks,30582183,662689
kelly,30510238,476831
leads,30507300,879961
brian,30060564,820905
miami,29904805,503301
wales,29821525,829934
minor,29782623,789896
noted,29754565,838906
spent,29719451,824940
davis,29689352,706678
helps,29607993,704998
cycle,29585286,541499
sleep,29491537,636376
scene,29372413,705893
drink,29254937,662835
intel,28995654,912086
rings,28827859,774064
henry,28769085,715260
guess,28743465,576098
ahead,28375319,642715
devel,28152649,510378
delta,28051872,863921
cisco,27894293,639411
alpha,27832836,499830
bonus,27819488,642137
adobe,27538755,799034
trees,27378116,765680
dress,27318959,694789
refer,27099706,475605
babes,27016030,716215
layer,26912270,841403
spend,26713310,754049
clock,26624872,449923
ratio,26457942,923275
proof,26305059,452553
empty,26206017,608479
maine,26049821,932546
ideal,26036289,901533
specs,26029159,607156
parks,25974927,685944
cream,25898758,854333
boxes,25787744,670340
hills,25770218,567503
aware,25700328,701249
shape,25675227,798499
irish,25658075,610259
firms,25497302,660764
usage,25440406,804026
mixed,25395056,633841
exist,25349128,793813
wheel,25342937,499187
angel,25294123,856437
width,25182453,536029
noise,25171520,963449
array,25150016,445321
greek,25059132,544214
sharp,24904199,714027
occur,24679212,530305
knows,24640096,583803
coach,24514961,571507
kevin,24511652,692583
plate,24275560,848264
logic,23989892,667234
sizes,23751367,640251
plain,23747230,791811
costa,23702154,829727
trail,23648838,887952
buddy,23611087,258076
setup,23534848,735515
blues,23387172,700879
scope,23349420,776906
crazy,23032837,564670
bears,22926868,893398
mouth,22880351,554298
meter,22874915,676599
fruit,22767191,640529
mysql,22703527,434132
lewis,22640158,795019
sugar,22450333,719554
stick,22399126,665601
allen,22368068,791600
genre,22344091,671265
slide,22339084,845046
exact,22304937,762494
bound,22303643,555206
storm,22242164,756135
micro,22219932,727513
dolls,22065047,560128
paint,21926890,812785
delay,21911190,748730
pilot,21909830,721444
czech,21849930,449626
novel,21821189,763208
ultra,21795075,773104
idaho,21791957,743823
plays,21753930,642859
truly,21693553,585386
lodge,21541130,715179
boobs,21461250,396382
broad,21370126,714562
swiss,21324437,398937
sarah,21321998,645174
clark,21305891,685284
foods,21150689,462468
guard,21137924,632623
newly,21102330,638365
raise,21099943,1031220
drama,20939845,571981
bands,20842378,706660
lunch,20807419,554011
dildo,20789655,581700
audit,20786243,739017
