word,count
آباد,28329
آبادان,5404
آبادانی,3842
آبادی,13221
آبان,45048
آب‌انبار,1826
آب‌باز,35
آب‌بازی,88
آب‌بند,335
آبجو,2113
آبجی,16
آبخوری,109
آبخیز,681
آبدار,856
آبدان,278
آب‌دهان,45
آب‌ریز,33
آبدیده,79
آبراه,1073
آبراهه,818
آبرو,472
آبرومند,172
آبریز,3238
آبریزگاه,61
آبستن,900
آبستنی,184
آبشخور,139
آبکش,691
آبکند,1
آبکی,417
آب‌گذر,161
آبگونه,28
آبگیر,881
آبگینه,104
آبله,1030
آبله‌رو,1
آبله‌کوبی,91
آب‌وتاب,2
آبونمان,143
آبونه,20
آبی,45260
آبیار,75
آپارتمان,4178
آتش,60340
آتش‌بس,9603
آتشپاره,4
آتش‌پرست,130
آتش‌زنه,66
آتش‌سوزی,9498
آتشدان,951
آتش‌گرفتن,18
آتشک,55
آتشکده,5809
آتشگاه,1302
آتشین,2031
آتلیه,504
آتمسفر,15
آتو,96
آتی,4969
آتیه,417
آثار,211427
آجل,38
آجیل,916
آخال,150
آخته,59
آخر,50745
آخرالامر,89
آخرالزمان,1630
آخرت,1360
آخری,1140
آخرین,113202
آخشیج,71
آخور,178
آخوند,3338
آداب,13557
آداب‌دان,6
آداب‌دانی,16
آدامس,612
آدرس,15411
آدم,8249
آدم‌کش,438
آدمی,7104
آدمیت,799
آدمیرال,288
آدمیزاد,216
آدینه,801
آذر,38703
آذرخش,1490
آذرگون,40
آذرین,811
آذوقه,3820
آذین,1544
آذین‌بندی,71
آراستگی,464
آراستن,619
آراسته,3167
آرام,25895
آرام‌آرام,652
آرام‌بخش,263
آرامش,13131
آرامش‌طلب,147
آرامگاه,30721
آرایش,8468
آرایشگاه,221
آرایشگر,565
آرتیست,177
آرزو,4478
آرزومند,245
آرزومندانه,12
آرزومندی,71
آرشیو,3680
آرم,3594
آرمان,4011
آرمیدن,19
آرمیده,157
آرنج,1064
آرواره,976
آروین,168
آره,89
آری,1003
آز,749
آزاد,120191
آزادانه,6627
آزادراه,4927
آزادگی,293
آزادمنشی,38
آزاده,1408
آزادی,75970
آزار,20584
آزارنده,51
آزخ,55
آزردگی,454
آزردن,54
آزرده,996
آزرده‌خاطر,135
آزرده‌دل,14
آزرم,152
آزگار,57
آزمایش,47613
آزمایشگاه,13682
آزمایشگر,276
آزماینده,12
آزمند,138
آزمندی,187
آزموده,840
آزمون,24192
آزور,177
آژان,63
آژانس,26146
آژخ,6
آژنگ,32
آژیر,712
آس,794
آسان,13026
آسایش,3178
آسایشگاه,1761
آستان,9241
آستانه,12921
آسم,1804
آسمان,22514
آسمانی,7874
آسودگی,806
آسودن,26
آسوده,1371
آسوده‌خاطر,337
آسوده‌دل,2
آسوری,519
آسه,152
آسیا,38527
آسیب,51120
آسیب‌پذیر,3831
آسیب‌دیده,1311
